date,daily_pnl,trades,volume_usd,avg_fee,win_day,cum_pnl,peak,drawdown,classification
2024-08-03,4271.886236,67,183583.18,-0.0548004328358209,True,442989.454862,442989.454862,0.0,fear
2024-08-04,1218.4267,30,211940.64,2.0596849333333336,True,444207.881562,444207.881562,0.0,fear
2024-08-05,1.56576,13,65973.57,1.7751404615384616,True,444209.44732200005,444209.44732200005,0.0,fear
2024-08-06,129.13883900000002,29,97351.88,1.1749357586206897,True,444338.5861610001,444338.5861610001,0.0,extreme fear
2024-08-07,0.0,1,497.64,0.0156,False,444338.5861610001,444338.5861610001,0.0,fear
2024-08-08,-40.712216999999995,9,16299.35,0.7386661111111111,False,444297.87394400005,444338.5861610001,-40.712217000022065,extreme fear
2024-08-09,0.0,1,0.11,0.0,False,444297.87394400005,444338.5861610001,-40.712217000022065,neutral
2024-08-10,5396.546638,36,434584.13,4.225117222222222,True,449694.42058200005,449694.42058200005,0.0,fear
2024-08-11,-64.41354100000007,39,270700.44,2.4071347948717947,False,449630.00704100006,449694.42058200005,-64.41354099998716,fear
2024-08-12,15965.933436,420,932939.72,0.5575687701428572,True,465595.9404770001,465595.9404770001,0.0,fear
2024-09-01,-826.349863,70,870051.97,2.9144704,False,464769.5906140001,465595.9404770001,-826.3498629999813,fear
2024-09-03,9949.501624,117,658178.75,0.015827042735042738,True,474719.0922380001,474719.0922380001,0.0,fear
2024-09-04,0.0,3,57063.840000000004,6.657447,False,474719.0922380001,474719.0922380001,0.0,fear
2024-09-05,1147.595856,28,221966.12,2.7745761428571427,True,475866.6880940001,475866.6880940001,0.0,fear
2024-09-06,0.0,17,22410.22,0.4421044117647059,False,475866.6880940001,475866.6880940001,0.0,extreme fear
2024-09-07,648.984412,15,2736.45,0.026504533333333337,True,476515.6725060001,476515.6725060001,0.0,extreme fear
2024-09-08,18082.071276,144,503204.86,1.2864887547222221,True,494597.7437820001,494597.7437820001,0.0,fear
2024-09-09,0.0,2,4014.4300000000003,17.45395,False,494597.7437820001,494597.7437820001,0.0,fear
2024-09-10,396.06272,14,220399.93,5.509997642857143,True,494993.8065020001,494993.8065020001,0.0,fear
2024-09-11,102.90894,86,193384.41,0.7695872441860464,True,495096.7154420001,495096.7154420001,0.0,fear
2024-09-12,6310.967676,539,983949.68,0.32425498410018555,True,501407.68311800004,501407.68311800004,0.0,fear
2024-10-01,-1517.091342,193,2057479.48,2.2489371243523317,False,499890.59177600004,501407.68311800004,-1517.0913419999997,neutral
2024-10-03,2482.9272,42,219973.85,0.05431123809523809,True,502373.518976,502373.518976,0.0,fear
2024-10-04,5207.443414,41,351735.97,3.002623463414634,True,507580.96239,507580.96239,0.0,fear
2024-10-05,2101.741695,22,156882.0,2.4958495454545453,True,509682.704085,509682.704085,0.0,neutral
2024-10-06,31.266804999999998,53,46587.93,0.27728920754716985,True,509713.97089,509713.97089,0.0,neutral
2024-10-07,11977.734907,56,687900.21,4.2993757142857145,True,521691.705797,521691.705797,0.0,neutral
2024-10-08,0.0,88,11339.29,0.5691271352272728,False,521691.705797,521691.705797,0.0,neutral
2024-10-09,-219.729659,3,2547.28,2.4301333333333335,False,521471.97613799997,521691.705797,-219.72965900000418,neutral
2024-10-10,0.0,16,300024.33999999997,6.563031875,False,521471.97613799997,521691.705797,-219.72965900000418,fear
2024-10-11,991.114334,173,413636.7,0.8226216531791908,True,522463.09047199995,522463.09047199995,0.0,fear
2024-10-12,39325.770231,1596,3150424.08,0.2841733617481203,True,561788.860703,561788.860703,0.0,neutral
2024-11-01,-164.08950099999998,21,305314.1,3.6127224285714283,False,561624.771202,561788.860703,-164.08950100000948,extreme greed
2024-11-02,983.443176,34,212311.82,0.7339791764705882,True,562608.214378,562608.214378,0.0,greed
2024-11-03,3588.179495,42,176519.44999999998,0.2017354761904762,True,566196.393873,566196.393873,0.0,greed
2024-11-04,389.743164,16,76400.96,1.6712705625,True,566586.137037,566586.137037,0.0,greed
2024-11-05,251.604742,9,63248.95,2.459680555555556,True,566837.741779,566837.741779,0.0,greed
2024-11-06,4320.631811,123,373279.92,1.0563269349593496,True,571158.3735900001,571158.3735900001,0.0,greed
2024-11-07,1876.812082,19,169887.02,3.1294969999999998,True,573035.185672,573035.185672,0.0,extreme greed
2024-11-08,847.7766200000001,24,44230.21,1.7054702916666666,True,573882.9622920001,573882.9622920001,0.0,extreme greed
2024-11-09,0.0,1,0.54,0.0,False,573882.9622920001,573882.9622920001,0.0,extreme greed
2024-11-10,8885.327477,26,488904.19,6.581392076923077,True,582768.289769,582768.289769,0.0,extreme greed
2024-11-11,6749.630996,373,1570572.42,1.0641033512064344,True,589517.920765,589517.920765,0.0,extreme greed
2024-11-12,319051.554217,1221,2194098.33,0.3386643980835381,True,908569.4749820001,908569.4749820001,0.0,extreme greed
